Row,TOTAL_0,TOTAL_7,TOTAL_10,TOTAL_20,TOTAL_30,SUIC1_0,SUIC1_7,SUIC1_10,SUIC1_20,SUIC1_30,SHOTS1_0,SHOTS1_7,SHOTS1_10,SHOTS1_20,SHOTS1_30,BURGR1_0,BURGR1_7,BURGR1_10,BURGR1_20,BURGR1_30,OD1_0,OD1_7,OD1_10,OD1_20,OD1_30,ASLTV1_0,ASLTV1_7,ASLTV1_10,ASLTV1_20,ASLTV1_30,MISSC1_0,MISSC1_7,MISSC1_10,MISSC1_20,MISSC1_30
O2,54,20,18,4,4,52,17,20,9,2,50,20,20,0,10,56,44,0,0,0,43,43,14,0,0,75,16,9,0,0,0,0,0,0,0
O3,58,19,16,3,4,53,22,17,1,8,74,16,5,2,3,75,13,11,0,2,79,14,4,4,0,63,23,11,1,3,29,0,43,14,14
Q1,43,22,24,5,6,42,22,27,4,5,48,14,23,7,8,69,15,10,3,2,48,28,18,4,2,32,29,27,4,8,36,25,32,7,0
Q2,48,20,22,4,5,43,26,23,5,3,56,23,15,1,5,74,16,7,1,2,47,25,21,4,4,52,20,19,3,6,57,20,17,0,7
Q3,59,17,16,4,4,58,20,14,5,2,86,7,3,3,0,74,15,12,0,0,67,18,14,1,0,61,17,14,1,7,45,20,25,0,10
R1,54,19,18,4,5,49,23,20,4,4,70,12,9,6,2,82,6,9,2,2,57,21,20,2,0,51,23,19,5,2,29,26,21,15,9
R2,56,16,19,4,6,52,16,22,6,4,76,7,11,4,2,71,17,9,2,2,51,17,29,0,2,50,16,22,4,8,30,21,28,13,9
R3,60,16,16,3,5,58,21,17,2,2,71,12,11,4,2,84,10,5,0,2,63,26,11,0,0,60,17,16,3,4,41,23,32,2,3
S1,59,16,17,3,5,55,21,17,3,4,73,9,15,2,1,78,12,7,1,3,67,8,25,0,0,55,22,16,3,4,39,17,21,11,12
S2,68,13,13,3,4,62,18,14,2,3,82,9,6,1,2,86,7,4,1,1,67,21,9,3,0,62,14,15,5,4,50,18,16,7,9
S3,55,18,19,3,5,53,22,19,3,4,65,16,13,2,3,73,13,9,2,3,51,24,22,0,2,46,21,23,6,5,34,20,23,7,16
U1,68,14,13,2,3,55,17,21,3,4,73,10,13,2,2,85,8,5,1,1,72,15,11,3,0,67,22,8,1,3,54,15,31,0,0
U2,65,15,15,3,3,62,20,12,4,2,88,4,4,1,3,75,11,11,3,1,72,17,8,3,0,56,17,14,8,6,100,0,0,0,0
U3,40,23,28,4,5,36,24,33,7,1,47,21,25,4,4,72,16,9,2,1,41,24,35,0,0,30,19,34,10,8,35,31,20,6,7
W1,44,19,26,5,6,34,26,29,5,5,51,18,25,4,2,64,20,10,1,6,62,13,18,8,0,41,13,34,8,5,45,20,28,5,3
W2,49,21,22,4,4,38,27,25,5,5,64,21,13,2,0,74,13,12,1,0,44,19,28,9,0,49,24,19,4,4,23,16,42,10,10
W3,50,21,21,4,5,43,28,21,3,4,60,20,14,3,2,78,12,7,1,2,49,15,27,3,6,51,20,19,4,6,46,20,29,0,5
